177,Okay.,62,41,1391148,1,0,0,0,5,,,,,,,
178,"Well, I guess that concludes today's conference.",62,41,1391148,1,5,1,1,48,,,,,,,
179,Thank you very much everyone for joining this call.,62,41,1391148,1,53,2,2,51,,,,,,,
180,Have a great day.,62,41,1391148,1,104,3,3,17,,,,,,,
181,Thanks.,62,41,1391148,1,121,4,4,7,,,,,,,
182,Thank you very much.,63,42,1391148,3,0,0,0,20,,,,,,,
183,Thank you very much.,64,43,1391148,3,0,0,0,20,,,,,,,
184,"Good day, everyone.",65,44,1430166,4,0,0,0,19,,,,,,,
185,We will now begin our conference.,65,44,1430166,4,19,1,1,33,,,,,,,
186,"I would like to turn the conference over to our moderator, Mr.",65,44,1430166,4,52,2,2,62,,,,,,,
187,Sung-Yop Chung of Daiwa Capital Markets.,65,44,1430166,4,114,3,3,40,,,,,,,
188,Good evening.,66,45,1430166,5,0,0,0,13,,,,,,,
189,This is S.Y.,66,45,1430166,5,13,1,1,12,,,,,,,
190,Chung from Daiwa Capital Markets.,66,45,1430166,5,25,2,2,33,,,,,,,
191,"Hyundai today announced a solid set of third quarter '11 results, which was in line with both ours and the consensus.",66,45,1430166,5,58,3,3,117,,,,,,,
192,"We are looking for a stronger fourth quarter, and let's hear more from Hyundai Motor Company.",66,45,1430166,5,175,4,4,93,,,,,,,
193,Let me hand the conference over to Mr.,67,45,1430166,5,0,0,5,38,,,,,,,
194,Kang at Hyundai Motor Company.,67,45,1430166,5,38,1,6,30,,,,,,,
195,Mr.,67,45,1430166,5,68,2,7,3,,,,,,,
196,"Kang, please.",67,45,1430166,5,71,3,8,13,,,,,,,
197,"Thank you, Mr.",68,46,1430166,6,0,0,0,14,,,,,,,
198,Chung.,68,46,1430166,6,14,1,1,6,,,,,,,
199,"First of all, thank you and welcome to our earnings conference call to discuss the performance of the company during third quarter of the year 2011.",68,46,1430166,6,20,2,2,148,,,,,,,
200,My name is ,68,46,1430166,6,168,3,3,11,,,,,,,
201,"Before I begin, I'd like to cover few items.",69,46,1430166,6,0,0,4,44,,,,,,,
202,The copy of the presentation materials that I'll be using today has been posted on our Investor Relations website.,69,46,1430166,6,44,1,5,114,,,,,,,
203,"And all the growth rates I'll be mentioning today will be year-over-year basis, unless I specify them.",69,46,1430166,6,158,2,6,102,,,,,,,
204,"So, now, I'll initiate this conference call with a brief statement on sales performance of the company during the third quarter of the year 2011.",70,46,1430166,6,0,0,7,145,,,,,,,
205,"And after that, we will cover the financial results.",70,46,1430166,6,145,1,8,52,,,,,,,
206,"So I'll start with the sales result of third quarter in 2011, starting from page number five.",70,46,1430166,6,197,2,9,93,,,,,,,
207,And page five shows a summary of retail sales.,71,46,1430166,6,0,0,10,46,,,,,,,
208,"The total global retail sales volume in first nine months of 2011 increased by 11.7% against last year's first nine months, and recorded total 3,024,000 units.",71,46,1430166,6,46,1,11,159,,,,,,,
209,"Sales in domestic markets increased by 7.3% and recorded 510,000 units.",71,46,1430166,6,205,2,12,71,,,,,,,
210,"And in overseas market, there is unstable global economy situation by financial crisis in Europe and also inflation risk in emerging markets.",71,46,1430166,6,276,3,13,141,,,,,,,
211,"And despite of those negative situations, our oversees retail sales have reached 2,513,000 units, which was a result of an effort in improving product competitiveness and successful introduction of strategic model in each side – in each market.",71,46,1430166,6,417,4,14,246,,,,,,,
212,And U.S.,71,46,1430166,6,663,5,15,8,,,,,,,
213,"market and Chinese market increased by 20.2% and 12.0%, respectively, and led overseas growth.",71,46,1430166,6,671,6,16,94,,,,,,,
214,Our sales in Europe and rest of the other markets also maintains growth trend.,71,46,1430166,6,765,7,17,78,,,,,,,
215,And now I'll move on to major market on next page.,72,46,1430166,6,0,0,18,50,,,,,,,
216,"In Korean market, the sales volumes in first nine months increased by 7.3% against last year's first nine months, and recorded 510,000 unit sales.",72,46,1430166,6,50,1,19,146,,,,,,,
217,It was supported by continuing strong sales of Grandeur and Elantra.,72,46,1430166,6,196,2,20,68,,,,,,,
218,"But particularly strong sales of Grandeur also helped us to increase proportion of our large car segment sales, which showed 99% of growth compared to last year.",72,46,1430166,6,264,3,21,161,,,,,,,
219,In U.S.,73,46,1430166,6,0,0,22,7,,,,,,,
220,"market, YF Sonata continually experiencing a high level of demand – high level of customers demand.",73,46,1430166,6,7,1,23,101,,,,,,,
221,"And together with successful introduction of the Elantra, our sales volume in U.S.",73,46,1430166,6,108,2,24,82,,,,,,,
222,"market increased by 20.2% to 493,000 units.",73,46,1430166,6,190,3,25,43,,,,,,,
223,Our market share in U.S.,73,46,1430166,6,233,4,26,24,,,,,,,
224,"market also recorded 5.2% and according to the Interbrand, the brand value of the Hyundai Motor climbed by 19% from a year before and surpassed $6 billion in 2011, and we were recognized as the fastest growing automotive brand.",73,46,1430166,6,257,5,27,227,,,,,,,
225,"And with such efforts, our sales continually increased even with the lowest level of incentive spending in U.S.",73,46,1430166,6,484,6,28,111,,,,,,,
226,markets.,73,46,1430166,6,595,7,29,8,,,,,,,
227,"And in Europe, industry demand decreased by 0.8% in the first nine months compared to the last year, but however, expanding sales of ix20 and ix35 helped us to expand the market share in LCV and SUV segment.",74,46,1430166,6,0,0,30,207,,,,,,,
228,"And along with expanding LCV and SUV market share, the passenger vehicle also expanded its segments with newly launched i40 and Veloster.",75,46,1430166,6,0,0,31,137,,,,,,,
229,"And as a result, the sales in European market maintained growth momentum and increased by 9.4% to 302,000 unit sales in first nine months.",75,46,1430166,6,137,1,32,138,,,,,,,
230,And let's move onto the next page to cover factory sales of individual brand.,76,46,1430166,6,0,0,33,77,,,,,,,
231,"The total factory sales of first nine months in 2011 recorded 2,950,000 units, which was 10.5% increase compared to the same period last year.",76,46,1430166,6,77,1,34,142,,,,,,,
232,"In Korea, production and sales including export was increased by 5.9% to 1,351,000 units.",77,46,1430166,6,0,0,35,89,,,,,,,
233,"The overseas production and sales was increased 13.2% to 1,599,000 units.",77,46,1430166,6,89,1,36,73,,,,,,,
234,Strong sales in overseas market was mainly supported by new Russia plant operation and successful introduction of local strategy model in each market.,77,46,1430166,6,162,2,37,150,,,,,,,
235,"In sales mix by segment, which is on the right side of the page, the high oil price has increased demand of small and fuel-efficient cars, which led our sales growth and the mix proportion by segment remains similar to previous year.",78,46,1430166,6,0,0,38,233,,,,,,,
