"base";"openSameDay";"CloseSameDay";"OpenNextDay";"NextWeekAvg";"change";;;;;
100;101.872445167;103.467979429;103.347105622;101.106911052;0.120873807;;;;;
100;98.8577969666;99.7200482761;99.8432270346;98.7209316793;0.1231787585;;;;;
100;97.723795837;99.6708543878;99.794477153;101.123421878;0.1236227652;;;;;
100;102.406227884;100.442321302;100.318471338;97.7848549186;0.123849964;;;;;
100;100.604200166;103.945167211;104.070230148;102.667738635;0.125062937;;;;;
100;99.8208394949;100.571607326;100.446479354;99.7165661851;0.125127972;;;;;
100;96.9717424701;94.7930729482;94.9187654206;94.536450817;0.1256924724;;;;;
100;98.5734378139;100.152128362;100.278423606;102.372819733;0.126295244;;;;;
100;93.9913085466;96.3283437953;96.4558184452;100.697891518;0.1274746499;;;;;
100;101.515827017;99.4688790246;99.340944775;100.030368231;0.1279342496;;;;;
100;100.490150313;103.519746055;103.391373354;101.268944699;0.128372701;;;;;
100;99.8882550138;96.0712815386;95.9418926072;102.077084436;0.1293889314;;;;;
100;99.9469855388;98.1327128678;98.0031219627;100.859521495;0.1295909051;;;;;
100;99.4911328633;100.569728322;100.439553008;101.648323782;0.130175314;;;;;
100;100.014900465;98.867564668;98.9986887591;102.664699805;0.1311240911;;;;;
100;97.3799517124;98.2324361382;98.3635875883;100.074021084;0.1311514501;;;;;
100;99.6658977011;98.5064831756;98.375228701;100.06695304;0.1312544746;;;;;
100;99.7501209092;96.6911172014;96.8241173626;100.407732817;0.1330001612;;;;;
100;100.158353127;98.650953164;98.7849442719;98.6788679782;0.1339911079;;;;;
100;102.516684088;103.481546997;103.615555734;101.560755095;0.134008737;;;;;
100;102.850408137;98.8362652233;98.7018202453;96.8980167911;0.134444978;;;;;
100;102.744546094;98.6356722889;98.4994665274;108.560532111;0.1362057615;;;;;
100;98.3014149793;97.9507196877;98.0879482801;99.6050866065;0.1372285924;;;;;
100;100.57990766;99.0654725483;99.2031484675;99.0935176429;0.1376759192;;;;;
100;99.2047564096;100.943254227;100.80527821;99.0115899854;0.137976017;;;;;
100;99.1803278689;98.1846525194;98.3229407623;97.2719501157;0.1382882429;;;;;
100;97.9562084723;100.395301242;100.535478987;101.960619399;0.140177745;;;;;
100;99.7922654449;100.825246863;100.966107965;99.591407947;0.140861102;;;;;
100;98.5499214926;100.012930636;99.8706936363;100.094208922;0.1422369997;;;;;
100;99.4821000842;102.259338383;102.116915906;101.594700158;0.142422477;;;;;
100;99.4821000842;102.259338383;102.116915906;101.594700158;0.142422477;;;;;
100;101.322671277;106.077371947;106.220012967;104.11209567;0.14264102;;;;;
100;103.178414297;101.166759679;101.309522264;101.056443135;0.142762585;;;;;
100;101.157859627;101.634345071;101.777290704;101.915471482;0.142945633;;;;;
100;99.3421993422;100.879450879;100.736450736;102.682682683;0.143000143;;;;;
100;103.147353362;99.5708154506;99.4277539342;103.051979018;0.1430615164;;;;;
100;100.296011971;101.29789864;101.441025307;100.886409472;0.143126667;;;;;
100;99.7942116555;99.4570690486;99.6015587372;100.035027803;0.1444896886;;;;;
100;98.9872495446;101.595628415;101.449908925;101.07346691;0.14571949;;;;;
100;103.977356488;104.642214819;104.496270307;97.4882310739;0.145944512;;;;;
